,Brand,Current Price,Original Price,Discount Percentage,Rating,Number OF Ratings,Model Name,Dial Shape,Strap Color,Strap Material,Touchscreen,Battery Life (Days),Bluetooth,Display Size,Weight
180,boat,12747.554545454546,14598.204244031831,48.236893613453574,5.0,996.0,"Wave Beat Call with BT Calling, 1.69 HD Display & 600+ Watch Face",Rectangle,Black,Silicon,Yes,22.0,Yes,1.7 inches,20 - 35 g
181,boat,2299.0,6990.0,67.11015737,3.9,16676.0,"Vertex 1.69"" HealthEcosystem",Square,Black,Silicon,Yes,22.0,Yes,1.7 inches,20 - 35 g
182,boat,2999.0,7990.0,62.46558198,3.8,11340.0,Xplorer,Square,Black,Silicon,Yes,22.0,Yes,1.3 inches,20 - 35 g
183,honor,8999.0,14999.0,40.00266684,4.4,14613.0,Magic Watch 2 (46mm),Circle,Black,Fluoroelastomer,Yes,8.0,Yes,1.4 inches,20 - 35 g
184,honor,12999.0,18999.0,31.58060951,4.2,84.0,Watch GS 3,Circle,Blue,Leather,Yes,8.0,Yes,1.4 inches,20 - 35 g
185,honor,13999.0,15999.0,12.5007813,4.4,14613.0,Magic Watch 2 (46 mm),Circle,Brown,Leather,Yes,8.0,Yes,1.8 inches,20 - 35 g
186,honor,17999.0,20999.0,14.28639459,4.4,1111.0,Watch GS Pro,Circle,Blue,Nylon,Yes,17.5,Yes,1.4 inches,20 - 35 g
187,honor,4999.0,10999.0,54.55041367,4.3,2241.0,Watch ES,Rectangle,Pink,Silicon,Yes,22.0,Yes,1.6 inches,<= 20 g
188,honor,9047.0,17999.0,49.73609645,4.3,1779.0,Magic SmartWatch,Circle,Brown,Leather,Yes,22.0,Yes,1.2 inches,20 - 35 g
189,honor,7999.0,17333.0,53.8510356,4.3,1779.0,Watch Magic,Circle,Black,Silicon,Yes,22.0,Yes,1.2 inches,20 - 35 g
190,honor,10999.0,13999.0,21.43010215,4.4,14613.0,Magic Watch 2 (42 mm),Circle,Black,Fluoroelastomer,Yes,22.0,Yes,1.7 inches,<= 20 g
191,samsung,12990.0,29999.0,56.69855662,4.4,35511.0,"Watch 4, 44mmSuper AMOLED bluetooth calling function & body composition tracking",Circle,Black,Rubber,Yes,3.5,Yes,1.4 inches,<= 20 g
192,samsung,27999.0,29999.0,6.666888896,4.3,435.0,Watch 5 40mmSuper AMOLED displayBluetooth calling & body composition tracking,Circle,Graphite,Rubber,Yes,3.5,Yes,1.2 inches,<= 20 g
193,samsung,35999.0,39999.0,10.00025001,4.3,435.0,Watch 5 44mmSuper AMOLED displayLTE calling & body composition tracking,Circle,Graphite,Rubber,Yes,3.5,Yes,1.4 inches,<= 20 g
194,samsung,22749.0,37999.0,40.13263507,4.2,567.0,Galaxy Watch4 Classic Bluetooth (4.6cm),Circle,Black,Fluoroelastomer,Yes,3.5,Yes,1.4 inches,75g +
195,samsung,32999.0,35999.0,8.333564821,4.3,435.0,Watch 5 40mmSuper AMOLED display LTE calling & body composition tracking,Circle,Graphite,Rubber,Yes,3.5,Yes,1.2 inches,<= 20 g
196,samsung,44999.0,48999.0,8.163431907,4.4,88.0,Watch 5 pro 45mmSuper AMOLED displayBluetooth callingwith advanced GPS tracking,Circle,Black,Rubber,Yes,3.5,Yes,1.4 inches,20 - 35 g
197,samsung,34997.0,42999.0,18.60973511,4.2,567.0,Galaxy Watch4 Classic LTE (4.6cm),Circle,Silver,Fluoroelastomer,Yes,3.5,Yes,1.4 inches,75g +
198,samsung,49999.0,54999.0,9.091074383,4.4,88.0,Watch 5 pro45mmSuper AMOLED displayLTE callingwith advanced GPS tracking,Circle,Grey,Rubber,Yes,3.5,Yes,1.4 inches,20 - 35 g
199,samsung,24999.0,26999.0,7.407681766,4.1,91.0,Galaxy Watch4 Bluetooth (4.0cm),Circle,Black,Fluoroelastomer,Yes,3.5,Yes,4.0 inches,<= 20 g
200,samsung,31999.0,34999.0,8.571673476,3.8,40.0,Galaxy Watch4 Classic Bluetooth (4.2cm),Circle,Black,Fluoroelastomer,Yes,3.5,Yes,1.2 inches,20 - 35 g
201,samsung,16999.0,34999.0,51.43004086,4.2,567.0,Galaxy Watch4 LTE (4.4cm),Circle,Black,Fluoroelastomer,Yes,3.5,Yes,1.4 inches,<= 20 g
202,samsung,39490.0,14598.204244031831,48.236893613453574,4.3,1489.0,Galaxy Watch 3 45 mm LTE,Circle,Black,Leather,Yes,3.5,Yes,1.8 inches,20 - 35 g
203,samsung,17490.0,34999.0,50.02714363,4.2,567.0,Galaxy Watch4 Classic Bluetooth(4.2cm),Circle,Silver,Fluoroelastomer,Yes,3.5,Yes,1.2 inches,20 - 35 g
204,samsung,31999.0,39999.0,20.00050001,4.2,567.0,Galaxy Watch4 Classic LTE (4.2cm),Circle,Black,Fluoroelastomer,Yes,3.5,Yes,1.2 inches,20 - 35 g
205,samsung,28999.0,31999.0,9.375292978,3.8,12.0,Galaxy Watch4 LTE (4.0cm),Circle,Pink,Fluoroelastomer,Yes,3.5,Yes,1.2 inches,<= 20 g
206,samsung,11999.0,30990.0,61.28105841,4.3,1489.0,Galaxy Watch 3 41 mm,Circle,Black,Leather,Yes,3.5,Yes,1.6 inches,20 - 35 g
207,samsung,16999.0,28490.0,40.33345033,4.1,1980.0,Galaxy Watch Active 2 Aluminium LTE,Circle,Grey,Silicon,Yes,3.5,Yes,1.4 inches,<= 20 g
